"","Horizontal","Round","Vertical"
"Galidictis_fasciata",1,0,0
"Galidia_elegans",1,0,0
"Cryptoprocta_ferox",0,0,1
"Rhynchogale_melleri",1,0,0
"Cynictis_penicillata",1,0,0
"Paracynictis_selousi",1,0,0
"Bdeogale_crassicauda",1,0,0
"Ichneumia_albicauda",1,0,0
"Herpestes_brachyurus",1,0,0
"Crossarchus_alexandri",1,0,0
"Helogale_hirtula",1,0,0
"Mungos_gambianus",1,0,0
"Dologale_dybowskii",1,0,0
"Liberiictis_kuhni",1,0,0
"Suricata_suricatta",1,0,0
"Genetta_abyssinica",0,0,1
"Poiana_leightoni",0,0,1
"Viverricula_indica",0,0,1
"Viverra_civettina",0,0,1
"Civettictis_civetta",0,0,1
"Macrogalidia_musschenbroekii",0,0,1
"Cynogale_bennettii",0,0,1
"Hemigalus_derbyanus",0,0,1
"Diplogale_hosei",0,0,1
"Chrotogale_owstoni",0,0,1
"Arctogalidia_trivirgata",0,0,1
"Paradoxurus_hermaphroditus",0,0,1
"Paguma_larvata",0,0,1
"Arctictis_binturong",0,0,1
"Prionodon_linsang",0,0,1
"Leptailurus_serval",0,0,1
"Caracal_aurata",0,0,1
"Felis_bieti",0,0,1
"Otocolobus_manul",0,1,0
"Prionailurus_bengalensis",0,0,1
"Leopardus_colocolo",0,0,1
"Lynx_canadensis",0,0,1
"Acinonyx_jubatus",0,1,0
"Puma_concolor",0,1,0
"Herpailurus_yagouaroundi",0,1,0
"Pardofelis_marmorata",0,0,1
"Catopuma_badia",0,1,0
"Neofelis_diardi",0,0,1
"Panthera_leo",0,1,0
"Bunolagus_monticularis",0,0,1
"Pentalagus_furnessi",0,0,1
"Caprolagus_hispidus",0,0,1
"Sylvilagus_aquaticus",0,0,1
"Lepus_alleni",0,0,1
"Brachylagus_idahoensis",0,0,1
"Poelagus_marjorita",0,0,1
"Romerolagus_diazi",0,0,1
"Nesolagus_netscheri",0,0,1
"Pronolagus_rupestris",0,0,1
"Ochotona_princeps",0,1,0
"Eliomys_quercinus",0,1,0
"Muscardinus_avellanarius",0,1,0
"Graphiurus_nagtglasii",0,1,0
"Ratufa_affinis",1,0,0
"Funambulus_tristriatus",1,0,0
"Callosciurus_erythraeus",1,0,0
"Sundasciurus_tenuis",1,0,0
"Dremomys_rufigenis",1,0,0
"Prosciurillus_weberi",1,0,0
"Exilisciurus_concinnus",1,0,0
"Paraxerus_palliatus",1,0,0
"Protoxerus_stangeri",1,0,0
"Tamias_striatus",0,1,0
"Spermophilus_major",1,0,0
"Cynomys_ludovicianus",1,0,0
"Marmota_caligata",1,0,0
"Otospermophilus_beecheyi",1,0,0
"Ammospermophilus_leucurus",1,0,0
"Sciurus_niger",1,0,0
"Rheithrosciurus_macrotis",1,0,0
"Hystrix_javanica",0,1,0
"Thryonomys_gregorianus",0,0,1
"Cuniculus_paca",0,0,1
"Myoprocta_acouchy",0,1,0
"Dasyprocta_azarae",0,1,0
"Kerodon_rupestris",0,0,1
"Hydrochoerus_hydrochaeris",0,0,1
"Dolichotis_patagonum",0,0,1
"Galea_musteloides",0,0,1
"Microcavia_australis",0,0,1
"Cavia_magna",0,1,0
"Erethizon_dorsatum",0,0,1
"Coendou_prehensilis",0,0,1
"Chaetomys_subspinosus",0,0,1
"Dinomys_branickii",0,0,1
"Lagostomus_maximus",0,0,1
"Lagidium_wolffsohni",0,0,1
"Chinchilla_lanigera",0,0,1
"Plagiodontia_aedium",0,0,1
"Geocapromys_brownii",0,0,1
"Mysateles_prehensilis",0,0,1
"Capromys_pilorides",0,0,1
"Thrichomys_laurentius",0,0,1
"Isothrix_bistriata",0,0,1
"Myocastor_coypus",0,0,1
"Mesomys_hispidus",0,0,1
"Toromys_grandis",0,0,1
"Pattonomys_semivillosus",0,0,1
"Echimys_chrysurus",0,0,1
"Makalata_didelphoides",0,0,1
"Diplomys_labilis",0,0,1
"Dactylomys_boliviensis",0,0,1
"Kannabateomys_amblyonyx",0,0,1
"Proechimys_simonsi",0,0,1
"Octodon_degus",0,0,1
"Abrocoma_bennettii",0,0,1
"Castor_canadensis",0,1,0
"Pedetes_capensis",0,0,1
"Zenkerella_insignis",0,1,0
"Platacanthomys_lasiurus",0,1,0
"Nesomys_audeberti",0,1,0
"Hypogeomys_antimena",0,1,0
"Cricetomys_gambianus",0,1,0
"Arborimus_longicaudus",0,1,0
"Ondatra_zibethicus",0,1,0
"Chionomys_roberti",0,1,0
"Microtus_pennsylvanicus",0,1,0
"Lagurus_lagurus",0,1,0
"Arvicola_scherman",0,1,0
"Myodes_glareolus",0,1,0
"Mesocricetus_auratus",0,1,0
"Megadontomys_cryophilus",0,1,0
"Scotinomys_xerampelinus",0,1,0
"Tylomys_bullaris",0,1,0
"Nyctomys_sumichrasti",0,1,0
"Sigmodon_hispidus",0,1,0
"Thomasomys_vulcani",0,1,0
"Thaptomys_nigrita",0,1,0
"Akodon_affinis",0,1,0
"Scolomys_melanops",0,1,0
"Nephelomys_albigularis",0,1,0
"Oecomys_auyantepui",0,1,0
"Euryoryzomys_emmonsae",0,1,0
"Cerradomys_maracajuensis",0,1,0
"Holochilus_brasiliensis",0,1,0
"Melanomys_caliginosus",0,1,0
"Aegialomys_xanthaeolus",0,1,0
"Oligoryzomys_andinus",0,1,0
"Abrothrix_andinus",0,1,0
"Wiedomys_pyrrhorhinos",0,1,0
"Tatera_indica",0,1,0
"Meriones_unguiculatus",0,0,1
"Psammomys_obesus",0,1,0
"Taterillus_emini",0,1,0
"Phloeomys_cumingi",0,1,0
"Crateromys_schadenbergi",0,1,0
"Rattus_norvegicus",0,1,0
"Diplothrix_legata",0,1,0
"Bandicota_bengalensis",0,1,0
"Sundamys_maxi",0,1,0
"Bullimus_bagobus",0,1,0
"Taeromys_punicans",0,1,0
"Bunomys_andrewsi",0,1,0
"Niviventer_cremoriventer",0,1,0
"Leopoldamys_ciliatus",0,1,0
"Chiropodomys_gliroides",0,1,0
"Diomys_crumpi",0,1,0
"Madromys_blanfordi",0,1,0
"Melomys_caurinus",0,1,0
"Uromys_caudimaculatus",0,1,0
"Leggadina_forresti",0,1,0
"Komodomys_rintjanus",0,1,0
"Zyzomys_argurus",0,1,0
"Mastacomys_fuscus",0,1,0
"Pseudomys_albocinereus",0,1,0
"Notomys_alexis",0,1,0
"Crossomys_moncktoni",0,1,0
"Hydromys_chrysogaster",0,1,0
"Haeromys_margarettae",0,1,0
"Hyomys_goliath",0,1,0
"Pogonomys_loriae",0,1,0
"Lorentzimys_nouhuysi",0,1,0
"Mus_musculus",0,1,0
"Praomys_daltoni",0,1,0
"Tokudaia_osimensis",0,1,0
"Apodemus_agrarius",0,1,0
"Cremnomys_cutchicus",0,1,0
"Oenomys_hypoxanthus",0,1,0
"Aethomys_namaquensis",0,1,0
"Dephomys_defua",0,1,0
"Grammomys_aridulus",0,1,0
"Lenothrix_canus",0,1,0
"Tupaia_belangeri",1,0,0
"Anathana_ellioti",1,0,0
"Nycticebus_bengalensis",0,0,1
"Loris_lydekkerianus",0,0,1
"Galagoides_rondoensis",0,0,1
"Otolemur_crassicaudatus",0,0,1
"Galago_gallarum",0,0,1
"Euoticus_elegantulus",0,0,1
"Perodicticus_potto",0,0,1
"Arctocebus_aureus",0,0,1
"Daubentonia_madagascariensis",0,1,0
"Indri_indri",0,1,0
"Propithecus_candidus",0,1,0
"Avahi_betsileo",0,0,1
"Varecia_rubra",0,1,0
"Lemur_catta",0,1,0
"Prolemur_simus",0,0,1
"Hapalemur_alaotrensis",0,1,0
"Eulemur_cinereiceps",0,1,0
"Phaner_electromontis",0,0,1
"Lepilemur_leucopus",0,0,1
"Cheirogaleus_crossleyi",0,0,1
"Mirza_coquereli",0,0,1
"Microcebus_mamiratra",0,0,1
"Allocebus_trichotis",0,0,1
"Tarsius_bancanus",1,0,0
"Chiropotes_satanas",0,1,0
"Cacajao_calvus",0,1,0
"Pithecia_milleri",0,1,0
"Callicebus_discolor",0,1,0
"Saguinus_oedipus",0,1,0
"Leontopithecus_caissara",0,1,0
"Callithrix_geoffroyi",0,1,0
"Cebuella_pygmaea",0,1,0
"Mico_acariensis",0,1,0
"Callimico_goeldii",0,1,0
"Sapajus_xanthosternos",0,1,0
"Cebus_albifrons",0,1,0
"Aotus_azarae",0,1,0
"Oreonax_flavicauda",0,1,0
"Ateles_belzebuth",0,1,0
"Lagothrix_cana",0,1,0
"Brachyteles_hypoxanthus",0,1,0
"Alouatta_arctoidea",0,1,0
"Symphalangus_syndactylus",0,1,0
"Hylobates_moloch",0,1,0
"Nomascus_concolor",0,1,0
"Hoolock_hoolock",0,1,0
"Pongo_abelii",0,1,0
"Pan_troglodytes",0,1,0
"Homo_sapiens",0,1,0
"Gorilla_gorilla",0,1,0
"Trachypithecus_auratus",0,1,0
"Semnopithecus_dussumieri",0,1,0
"Presbytis_natunae",0,1,0
"Rhinopithecus_avunculus",0,1,0
"Pygathrix_cinerea",0,1,0
"Simias_concolor",0,1,0
"Procolobus_badius",0,1,0
"Procolobus_verus",0,1,0
"Colobus_angolensis",0,1,0
"Macaca_arctoides",0,1,0
"Rungwecebus_kipunji",0,1,0
"Papio_anubis",0,1,0
"Theropithecus_gelada",0,1,0
"Cercocebus_chrysogaster",0,1,0
"Mandrillus_leucophaeus",0,1,0
"Erythrocebus_patas",0,1,0
"Chlorocebus_cynosuros",0,1,0
"Cercopithecus_dryas",0,1,0
"Miopithecus_ogouensis",0,1,0
"Allenopithecus_nigroviridis",0,1,0
"Glironia_venusta",0,1,0
"Hyladelphys_kalinowskii",0,1,0
"Monodelphis_domestica",0,1,0
"Marmosa_mexicana",0,1,0
"Metachirus_nudicaudatus",0,1,0
"Lutreolina_crassicaudata",0,1,0
"Philander_andersoni",0,1,0
"Didelphis_albiventris",0,1,0
"Caluromys_derbianus",0,1,0
"Dromiciops_gliroides",0,1,0
"Macrotis_leucura",0,1,0
"Microperoryctes_aplini",0,1,0
"Echymipera_rufescens",0,1,0
"Isoodon_macrourus",0,1,0
"Perameles_nasuta",0,1,0
"Planigale_ingrami",0,1,0
"Sminthopsis_crassicaudata",0,1,0
"Antechinomys_laniger",0,1,0
"Pseudantechinus_mimulus",0,1,0
"Dasyurus_hallucatus",0,1,0
"Sarcophilus_harrisii",0,0,1
"Parantechinus_apicalis",0,1,0
"Dasyuroides_byrnei",0,1,0
"Dasycercus_cristicauda",0,1,0
"Antechinus_adustus",0,1,0
"Phascogale_tapoatafa",0,1,0
"Murexia_melanurus",0,1,0
"Phascolarctos_cinereus",0,0,1
"Vombatus_ursinus",0,1,0
"Lasiorhinus_krefftii",0,0,1
"Cercartetus_caudatus",0,1,0
"Wyulda_squamicaudata",0,1,0
"Trichosurus_caninus",0,1,0
"Spilocuscus_kraemeri",0,0,1
"Phalanger_gymnotis",0,0,1
"Strigocuscus_celebensis",0,0,1
"Ailurops_melanotis",0,1,0
"Hypsiprymnodon_moschatus",0,1,0
"Lagostrophus_fasciatus",0,1,0
"Onychogalea_unguifera",0,1,0
"Dorcopsis_muelleri",0,1,0
