"","Horizontal","Round","Vertical"
"oenomys_hypoxanthus",0,1,0
"melomys_cervinipes",0,1,0
"uromys_caudimaculatus",0,1,0
"mastacomys_fuscus",0,1,0
"pseudomys",0,1,0
"notomys",0,1,0
"leggadina_forresti",0,1,0
"zyzomys_argurus",0,1,0
"hydromys_chrysogaster",0,1,0
"crossomys_moncktoni",0,1,0
"pogonomys_loriae",0,1,0
"hyomys_goliath",0,1,0
"lorentzimys_nouhuysi",0,1,0
"millardia_meltada",0,1,0
"millardia_kathleenae",0,1,0
"chiropodomys_gliroides",0,1,0
"rattus_praetor",0,1,0
"bandicota_bengalensis",0,1,0
"diplothrix_legata",0,1,0
"rattus_norvegicus",0,1,0
"bullimus_bagobus",0,1,0
"sundamys_muelleri",0,1,0
"bunomys_andrewsi",0,1,0
"taeromys_celebensis",0,1,0
"niviventer_eha",0,1,0
"niviventer_cremoriventer",0,1,0
"leopoldamys_edwardsi",0,1,0
"crateromys_heaneyi",0,1,0
"phloeomys_cumingi",0,1,0
"cremnomys_cutchicus",0,1,0
"meriones_unguiculatus",0,0,1
"psammomys_obesus",0,1,0
"taterillus_arenarius",0,1,0
"tatera_indica",0,1,0
"abrothrix_andinus",0,1,0
"wiedomys_pyrrhorhinos",0,1,0
"akodon_affinis",0,1,0
"thaptomys_nigrita",0,1,0
"thomasomys_vulcani",0,1,0
"melanomys_caliginosus",0,1,0
"aegialomys_xanthaeolus",0,1,0
"holochilus_brasiliensis",0,1,0
"cerradomys_subflavus",0,1,0
"oligoryzomys_andinus",0,1,0
"oecomys_auyantepui",0,1,0
"euryoryzomys_lamia",0,1,0
"nephelomys_albigularis",0,1,0
"scolomys_juruaense",0,1,0
"sigmodon_hispidus",0,1,0
"typhlomys_chapensis",0,1,0
"heteromys_desmarestianus",0,1,0
"castor_canadensis",0,1,0
"anomalurus",0,1,0
"pedetes_capensis",0,0,1
"cercopithecus_mitis",0,1,0
"erythrocebus_patas",0,1,0
"chlorocebus_aethiops",0,1,0
"miopithecus_ogouensis",0,1,0
"allenopithecus_nigroviridis",0,1,0
"macaca_arctoides",0,1,0
"rungwecebus_kipunji",0,1,0
"papio_anubis",0,1,0
"theropithecus_gelada",0,1,0
"cercocebus_agilis",0,1,0
"mandrillus_leucophaeus",0,1,0
"presbytis_chrysomelas",0,1,0
"rhinopithecus_avunculus",0,1,0
"simias_concolor",0,1,0
"pygathrix_cinerea",0,1,0
"semnopithecus_entellus",0,1,0
"trachypithecus_auratus",0,1,0
"piliocolobus_badius",0,1,0
"procolobus_verus",0,1,0
"colobus_angolensis",0,1,0
"hylobates_pileatus",0,1,0
"hoolock_hoolock",0,1,0
"symphalangus_syndactylus",0,1,0
"nomascus_concolor",0,1,0
"pan_troglodytes",0,1,0
"homo_sapiens",0,1,0
"gorilla_gorilla",0,1,0
"pongo_abelii",0,1,0
"saguinus_oedipus",0,1,0
"leontopithecus_rosalia",0,1,0
"callithrix_argentata",0,1,0
"callithrix_pygmaea",0,1,0
"callithrix_geoffroyi",0,1,0
"callimico_goeldii",0,1,0
"sapajus_xanthosternos",0,1,0
"cebus_albifrons",0,1,0
"aotus_brumbacki",0,1,0
"ateles_belzebuth",0,1,0
"lagothrix_lagotricha",0,1,0
"lagothrix_poeppigii",0,1,0
"brachyteles_arachnoides",0,1,0
"alouatta_belzebul",0,1,0
"cacajao_calvus",0,1,0
"chiropotes_albinasus",0,1,0
"pithecia_irrorata",0,1,0
"callicebus_personatus",0,1,0
"tarsius_bancanus",1,0,0
"microcebus_mamiratra",0,0,1
"mirza_coquereli",0,0,1
"allocebus_trichotis",0,0,1
"cheirogaleus_major",0,0,1
"lepilemur_dorsalis",0,0,1
"phaner",0,0,1
"eulemur_cinereiceps",0,1,0
"hapalemur_aureus",0,1,0
"prolemur_simus",0,0,1
"lemur_catta",0,1,0
"varecia_rubra",0,1,0
"propithecus_perrieri",0,1,0
"avahi_laniger",0,0,1
"indri_indri",0,1,0
"daubentonia_madagascariensis",0,1,0
"euoticus_elegantulus",0,0,1
"galagoides_orinus",0,0,1
"otolemur_crassicaudatus",0,0,1
"galago_alleni",0,0,1
"nycticebus_bengalensis",0,0,1
"loris_tardigradus",0,0,1
"perodicticus_potto",0,0,1
"arctocebus_aureus",0,0,1
